"","player_name","mp","raptor_offense","raptor_defense","raptor_total","salary","position","guard","forward","center"
"126","Georges Niang",1283,0.0861846284268546,0.551682356969444,0.637866985396299,"$1,783,557.00","F/C",0,1,1
"127","Giannis Antetokounmpo",2813,4.24637430332853,2.34187392072381,6.58824822405234,"$27,528,088.00","F",0,1,0
"128","Goga Bitadze",561,-0.407171452075365,-0.391616012032644,-0.798787464108009,"$2,957,520.00","C",0,0,1
"129","Goran Dragic",1454,-0.386030850934548,-1.06881445705334,-1.45484530798788,"$18,000,000.00","G",1,0,0
"130","Gordon Hayward",1496,1.01068797966309,-0.380953820790635,0.629734158872453,"$28,500,000.00","F",0,1,0
"131","Gorgui Dieng",552,0.944078600691453,-1.07050686028824,-0.126428259596791,"$17,587,688.00","C",0,0,1
"132","Grant Williams",1195,-2.94863327431157,0.147463133407275,-2.80117014090429,"$2,498,760.00","F/C",0,1,1
"133","Grayson Allen",1375,-0.131557188908471,-0.0227420289508169,-0.154299217859287,"$2,545,320.00","G",1,0,0
"134","Hamidou Diallo",1226,-0.963260576991323,0.0856493642702012,-0.877611212721122,"$1,663,861.00","F",0,1,0
"135","Harrison Barnes",2102,1.29021235881592,-0.134301328012903,1.15591103080302,"$22,215,909.00","F",0,1,0
"136","Hassan Whiteside",546,-4.71824841658273,0.820655480241288,-3.89759293634144,"$2,320,044.00","C",0,0,1
"137","Immanuel Quickley",1320,2.16143953797961,-1.70450915055859,0.456930387421019,"$2,105,520.00","G",1,0,0
"138","Isaac Okoro",2173,-2.85150426415351,-1.34937332700396,-4.20087759115748,"$6,400,920.00","G/F",1,1,0
"139","Isaiah Hartenstein",559,-2.54173312765098,3.64425088619519,1.10251775854421,"$1,620,564.00","C",0,0,1
"140","Isaiah Roby",1425,-3.85557832128163,-1.15589082874473,-5.01146915002636,"$1,517,981.00","C",0,0,1
"141","Isaiah Stewart",1455,-1.6405652234869,3.05685332725048,1.41628810376358,"$3,121,080.00","C",0,0,1
"142","Ish Smith",1035,-0.5867465423344,0.935136014153072,0.348389471818672,"$6,000,000.00","G",1,0,0
